,uniqueID,site,plot,quad,date,ind,buds,flrs,fruits,herb,melt_date
263,LV1 P1 QNA #43-2,LV1,1,NA,8/5/18,43-2,0,0,5,0,6/20/18
264,LV1 P1 QNA #43-2,LV1,1,NA,8/27/18,43-2,NA,NA,NA,0,6/20/18
265,LV1 P1 QNA #43-2-1,LV1,1,NA,7/1/18,43-2-1,NA,NA,NA,0,6/20/18
1257,LV3 P1.5 QNA #69,LV3,1.5,NA,7/18/18,69,NA,NA,NA,1,5/3/18
267,LV1 P1 QNA #43-2-1,LV1,1,NA,7/18/18,43-2-1,8,9,2,0,6/20/18
268,LV1 P1 QNA #43-2-1,LV1,1,NA,7/27/18,43-2-1,NA,NA,NA,NA,6/20/18
269,LV1 P1 QNA #43-2-1,LV1,1,NA,8/5/18,43-2-1,0,0,7,0,6/20/18
270,LV1 P1 QNA #43-2-1,LV1,1,NA,8/27/18,43-2-1,NA,NA,NA,0,6/20/18
271,LV1 P1 QNA #43-3,LV1,1,NA,7/1/18,43-3,0.9,NA,NA,0,6/20/18
1269,LV3 P1.5 QNA #71,LV3,1.5,NA,7/18/18,71,0,0,13,1,5/3/18
273,LV1 P1 QNA #43-3,LV1,1,NA,7/18/18,43-3,6,2,0,0,6/20/18
274,LV1 P1 QNA #43-3,LV1,1,NA,7/27/18,43-3,NA,NA,5,NA,6/20/18
275,LV1 P1 QNA #43-3,LV1,1,NA,8/5/18,43-3,0,1,4,0,6/20/18
276,LV1 P1 QNA #43-3,LV1,1,NA,8/27/18,43-3,NA,NA,NA,0,6/20/18
277,LV1 P1 QNA #43-3-1,NA,NA,NA,7/1/18,NA,NA,NA,NA,NA,NA
278,LV1 P1 QNA #43-3-1,NA,NA,NA,7/10/18,NA,NA,NA,NA,NA,NA
279,LV1 P1 QNA #43-3-1,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA
280,LV1 P1 QNA #43-3-1,NA,NA,NA,7/27/18,NA,NA,NA,7,NA,NA
281,LV1 P1 QNA #43-3-1,NA,NA,NA,8/5/18,NA,NA,NA,NA,NA,NA
282,LV1 P1 QNA #43-3-1,NA,NA,NA,8/27/18,NA,NA,NA,NA,NA,NA
283,LV1 P1 QNA #44,LV1,1,NA,7/1/18,44,NA,NA,NA,0,6/20/18
284,LV1 P1 QNA #44,LV1,1,NA,7/10/18,44,NA,NA,NA,NA,6/20/18
285,LV1 P1 QNA #44,LV1,1,NA,7/18/18,44,NA,NA,NA,0,6/20/18
286,LV1 P1 QNA #44,LV1,1,NA,7/27/18,44,NA,NA,NA,NA,6/20/18
287,LV1 P1 QNA #44,LV1,1,NA,8/5/18,44,NA,NA,NA,0,6/20/18
288,LV1 P1 QNA #44,LV1,1,NA,8/27/18,44,NA,NA,NA,0,6/20/18
289,LV1 P1 QNA #8-1,LV1,1,NA,7/1/18,1-Aug,NA,NA,NA,0,6/20/18
290,LV1 P1 QNA #8-1,LV1,1,NA,7/10/18,1-Aug,NA,NA,NA,NA,6/20/18
291,LV1 P1 QNA #8-1,LV1,1,NA,7/18/18,1-Aug,NA,NA,NA,0,6/20/18
292,LV1 P1 QNA #8-1,LV1,1,NA,7/27/18,1-Aug,NA,NA,NA,NA,6/20/18
293,LV1 P1 QNA #8-1,LV1,1,NA,8/5/18,1-Aug,NA,NA,NA,0,6/20/18
294,LV1 P1 QNA #8-1,LV1,1,NA,8/27/18,1-Aug,NA,NA,NA,0,6/20/18
295,LV1 P1 QNA #NA,LV1,1,NA,7/1/18,NA,NA,NA,NA,0,6/20/18
296,LV1 P1 QNA #NA,LV1,1,NA,7/10/18,NA,NA,NA,NA,NA,6/20/18
297,LV1 P1 QNA #NA,LV1,1,NA,7/18/18,NA,NA,NA,NA,0,6/20/18
298,LV1 P1 QNA #NA,LV1,1,NA,7/27/18,NA,NA,NA,NA,NA,6/20/18
299,LV1 P1 QNA #NA,LV1,1,NA,8/5/18,NA,NA,NA,NA,0,6/20/18
300,LV1 P1 QNA #NA,LV1,1,NA,8/27/18,NA,NA,NA,NA,0,6/20/18
301,LV1 P2 QNA #0-1,LV1,2,NA,7/1/18,0-1,NA,NA,NA,0,6/20/18
302,LV1 P2 QNA #0-1,LV1,2,NA,7/10/18,0-1,NA,NA,NA,NA,6/20/18
303,LV1 P2 QNA #0-1,LV1,2,NA,7/18/18,0-1,NA,NA,NA,0,6/20/18
304,LV1 P2 QNA #0-1,LV1,2,NA,7/27/18,0-1,NA,NA,NA,NA,6/20/18
305,LV1 P2 QNA #0-1,LV1,2,NA,8/5/18,0-1,NA,NA,NA,0,6/20/18
306,LV1 P2 QNA #0-1,LV1,2,NA,8/27/18,0-1,NA,NA,NA,0,6/20/18
307,LV1 P2 QNA #0-11,LV1,2,NA,7/1/18,0-11,NA,NA,NA,0,6/20/18
308,LV1 P2 QNA #0-11,LV1,2,NA,7/10/18,0-11,14,NA,NA,0,6/20/18
309,LV1 P2 QNA #0-11,LV1,2,NA,7/18/18,0-11,19,6,0,0,6/20/18
310,LV1 P2 QNA #0-11,LV1,2,NA,7/27/18,0-11,NA,NA,12,NA,6/20/18
311,LV1 P2 QNA #0-11,LV1,2,NA,8/5/18,0-11,0,0,12,0,6/20/18
312,LV1 P2 QNA #0-11,LV1,2,NA,8/27/18,0-11,NA,NA,NA,0,6/20/18
313,LV1 P2 QNA #0-12,LV1,2,NA,7/1/18,0-12,NA,NA,NA,0,6/20/18
1275,LV3 P1.5 QNA #72,LV3,1.5,NA,7/18/18,72,NA,NA,NA,1,5/3/18
1281,LV3 P1.5 QNA #73,LV3,1.5,NA,7/18/18,73,NA,NA,NA,1,5/3/18
316,LV1 P2 QNA #0-12,LV1,2,NA,7/27/18,0-12,NA,NA,5,NA,6/20/18
1287,LV3 P1.5 QNA #74,LV3,1.5,NA,7/18/18,74,NA,NA,NA,1,5/3/18
318,LV1 P2 QNA #0-12,LV1,2,NA,8/27/18,0-12,NA,NA,NA,0,6/20/18
319,LV1 P2 QNA #0-12-1,LV1,2,NA,7/1/18,0-12-1,NA,NA,NA,0,6/20/18
320,LV1 P2 QNA #0-12-1,LV1,2,NA,7/10/18,0-12-1,5,NA,NA,0,6/20/18
321,LV1 P2 QNA #0-12-1,LV1,2,NA,7/18/18,0-12-1,10,1,0,0,6/20/18
322,LV1 P2 QNA #0-12-1,LV1,2,NA,7/27/18,0-12-1,NA,NA,5,NA,6/20/18
323,LV1 P2 QNA #0-12-1,LV1,2,NA,8/5/18,0-12-1,3,0,5,0,6/20/18
324,LV1 P2 QNA #0-12-1,LV1,2,NA,8/27/18,0-12-1,NA,NA,NA,0,6/20/18
325,LV1 P2 QNA #0-2,LV1,2,NA,7/1/18,0-2,NA,NA,NA,0,6/20/18
326,LV1 P2 QNA #0-2,LV1,2,NA,7/10/18,0-2,NA,NA,NA,NA,6/20/18
327,LV1 P2 QNA #0-2,LV1,2,NA,7/18/18,0-2,NA,NA,NA,0,6/20/18
328,LV1 P2 QNA #0-2,LV1,2,NA,7/27/18,0-2,NA,NA,NA,NA,6/20/18
329,LV1 P2 QNA #0-2,LV1,2,NA,8/5/18,0-2,NA,NA,NA,0,6/20/18
330,LV1 P2 QNA #0-2,LV1,2,NA,8/27/18,0-2,NA,NA,NA,0,6/20/18
331,LV1 P2 QNA #0-3,LV1,2,NA,7/1/18,0-3,NA,NA,NA,0,6/20/18
332,LV1 P2 QNA #0-3,LV1,2,NA,7/10/18,0-3,NA,NA,NA,NA,6/20/18
333,LV1 P2 QNA #0-3,LV1,2,NA,7/18/18,0-3,NA,NA,NA,0,6/20/18
334,LV1 P2 QNA #0-3,LV1,2,NA,7/27/18,0-3,NA,NA,NA,NA,6/20/18
335,LV1 P2 QNA #0-3,LV1,2,NA,8/5/18,0-3,NA,NA,NA,0,6/20/18
336,LV1 P2 QNA #0-3,LV1,2,NA,8/27/18,0-3,NA,NA,NA,0,6/20/18
337,LV1 P2 QNA #0-4,LV1,2,NA,7/1/18,0-4,NA,NA,NA,0,6/20/18
338,LV1 P2 QNA #0-4,LV1,2,NA,7/10/18,0-4,NA,NA,NA,0,6/20/18
1293,LV3 P1.5 QNA #75,LV3,1.5,NA,7/18/18,75,NA,NA,NA,1,5/3/18
1443,LVTR1 PNA QNA #49,LVTR1,NA,NA,7/18/18,49,0,0,6,1,6/1/18
1629,LVTR2.5 PNA QNA #28,LVTR2.5,NA,NA,7/18/18,28,NA,NA,NA,1,NA
342,LV1 P2 QNA #0-4,LV1,2,NA,8/27/18,0-4,NA,NA,NA,0,6/20/18
343,LV1 P2 QNA #0-5,LV1,2,NA,7/1/18,0-5,NA,NA,NA,0,6/20/18
344,LV1 P2 QNA #0-5,LV1,2,NA,7/10/18,0-5,7,NA,NA,0,6/20/18
345,LV1 P2 QNA #0-5,LV1,2,NA,7/18/18,0-5,23,3,0,0,6/20/18
40,LV1 P1 QNA #19-1-1,LV1,1,NA,7/27/18,19-1-1,NA,NA,NA,1,6/20/18
347,LV1 P2 QNA #0-5,LV1,2,NA,8/5/18,0-5,4,1,10,0,6/20/18
348,LV1 P2 QNA #0-5,LV1,2,NA,8/27/18,0-5,NA,NA,NA,0,6/20/18
349,LV1 P2 QNA #0-6,LV1,2,NA,7/1/18,0-6,NA,NA,NA,0,6/20/18
350,LV1 P2 QNA #0-6,LV1,2,NA,7/10/18,0-6,NA,NA,NA,NA,6/20/18
351,LV1 P2 QNA #0-6,LV1,2,NA,7/18/18,0-6,NA,NA,NA,0,6/20/18
352,LV1 P2 QNA #0-6,LV1,2,NA,7/27/18,0-6,NA,NA,NA,NA,6/20/18
353,LV1 P2 QNA #0-6,LV1,2,NA,8/5/18,0-6,NA,NA,NA,0,6/20/18
354,LV1 P2 QNA #0-6,LV1,2,NA,8/27/18,0-6,NA,NA,NA,0,6/20/18
355,LV1 P2 QNA #0-7,LV1,2,NA,7/1/18,0-7,NA,NA,NA,0,6/20/18
356,LV1 P2 QNA #0-7,LV1,2,NA,7/10/18,0-7,NA,NA,NA,NA,6/20/18
357,LV1 P2 QNA #0-7,LV1,2,NA,7/18/18,0-7,NA,NA,NA,0,6/20/18
358,LV1 P2 QNA #0-7,LV1,2,NA,7/27/18,0-7,NA,NA,NA,NA,6/20/18
359,LV1 P2 QNA #0-7,LV1,2,NA,8/5/18,0-7,NA,NA,NA,0,6/20/18
360,LV1 P2 QNA #0-7,LV1,2,NA,8/27/18,0-7,NA,NA,NA,0,6/20/18
361,LV1 P2 QNA #0-8,LV1,2,NA,7/1/18,0-8,NA,NA,NA,0,6/20/18
362,LV1 P2 QNA #0-8,LV1,2,NA,7/10/18,0-8,NA,NA,NA,NA,6/20/18
363,LV1 P2 QNA #0-8,LV1,2,NA,7/18/18,0-8,NA,NA,NA,0,6/20/18
364,LV1 P2 QNA #0-8,LV1,2,NA,7/27/18,0-8,NA,NA,NA,NA,6/20/18
365,LV1 P2 QNA #0-8,LV1,2,NA,8/5/18,0-8,NA,NA,NA,0,6/20/18
366,LV1 P2 QNA #0-8,LV1,2,NA,8/27/18,0-8,NA,NA,NA,0,6/20/18
367,LV1 P2 QNA #0-9,LV1,2,NA,7/1/18,0-9,NA,NA,NA,0,6/20/18
368,LV1 P2 QNA #0-9,LV1,2,NA,7/10/18,0-9,NA,NA,NA,NA,6/20/18
369,LV1 P2 QNA #0-9,LV1,2,NA,7/18/18,0-9,NA,NA,NA,0,6/20/18
370,LV1 P2 QNA #0-9,LV1,2,NA,7/27/18,0-9,NA,NA,NA,NA,6/20/18
371,LV1 P2 QNA #0-9,LV1,2,NA,8/5/18,0-9,NA,NA,NA,0,6/20/18
372,LV1 P2 QNA #0-9,LV1,2,NA,8/27/18,0-9,NA,NA,NA,0,6/20/18
373,LV1 P2 QNA #0-9-1,LV1,2,NA,7/1/18,0-9-1,NA,NA,NA,0,6/20/18
124,LV1 P1 QNA #23-3,LV1,1,NA,7/27/18,23-3,NA,NA,NA,1,6/20/18
375,LV1 P2 QNA #0-9-1,LV1,2,NA,7/18/18,0-9-1,22,NA,NA,0,6/20/18
448,LV1 P2 QNA #16,LV1,2,NA,7/27/18,16,NA,NA,NA,1,6/20/18
454,LV1 P2 QNA #16-1,LV1,2,NA,7/27/18,16-1,NA,NA,NA,1,6/20/18
378,LV1 P2 QNA #0-9-1,LV1,2,NA,8/27/18,0-9-1,NA,NA,NA,0,6/20/18
379,LV1 P2 QNA #10-10,LV1,2,NA,7/1/18,10-Oct,NA,NA,NA,0,6/20/18
380,LV1 P2 QNA #10-10,LV1,2,NA,7/10/18,10-Oct,9,2,NA,0,6/20/18
381,LV1 P2 QNA #10-10,LV1,2,NA,7/18/18,10-Oct,4,5,NA,0,6/20/18
382,LV1 P2 QNA #10-10,LV1,2,NA,7/27/18,10-Oct,NA,NA,3,NA,6/20/18
383,LV1 P2 QNA #10-10,LV1,2,NA,8/5/18,10-Oct,0,0,3,0,6/20/18
384,LV1 P2 QNA #10-10,LV1,2,NA,8/27/18,10-Oct,NA,NA,NA,0,6/20/18
385,LV1 P2 QNA #10-7,LV1,2,NA,7/1/18,7-Oct,NA,NA,NA,0,6/20/18
386,LV1 P2 QNA #10-7,LV1,2,NA,7/10/18,7-Oct,13,3,NA,0,6/20/18
387,LV1 P2 QNA #10-7,LV1,2,NA,7/18/18,7-Oct,4,9,NA,0,6/20/18
388,LV1 P2 QNA #10-7,LV1,2,NA,7/27/18,7-Oct,NA,NA,5,NA,6/20/18
389,LV1 P2 QNA #10-7,LV1,2,NA,8/5/18,7-Oct,0,0,5,0,6/20/18
390,LV1 P2 QNA #10-7,LV1,2,NA,8/27/18,7-Oct,NA,NA,NA,0,6/20/18
391,LV1 P2 QNA #10-8,LV1,2,NA,7/1/18,8-Oct,NA,NA,NA,0,6/20/18
392,LV1 P2 QNA #10-8,LV1,2,NA,7/10/18,8-Oct,8,4,NA,0,6/20/18
393,LV1 P2 QNA #10-8,LV1,2,NA,7/18/18,8-Oct,1,7,NA,0,6/20/18
394,LV1 P2 QNA #10-8,LV1,2,NA,7/27/18,8-Oct,NA,NA,3,NA,6/20/18
395,LV1 P2 QNA #10-8,LV1,2,NA,8/5/18,8-Oct,0,0,3,0,6/20/18
396,LV1 P2 QNA #10-8,LV1,2,NA,8/27/18,8-Oct,NA,NA,NA,0,6/20/18
397,LV1 P2 QNA #10-9,LV1,2,NA,7/1/18,9-Oct,NA,NA,NA,0,6/20/18
398,LV1 P2 QNA #10-9,LV1,2,NA,7/10/18,9-Oct,11,1,NA,0,6/20/18
399,LV1 P2 QNA #10-9,LV1,2,NA,7/18/18,9-Oct,1,6,NA,0,6/20/18
400,LV1 P2 QNA #10-9,LV1,2,NA,7/27/18,9-Oct,NA,NA,3,NA,6/20/18
401,LV1 P2 QNA #10-9,LV1,2,NA,8/5/18,9-Oct,0,0,4,0,6/20/18
402,LV1 P2 QNA #10-9,LV1,2,NA,8/27/18,9-Oct,NA,NA,NA,0,6/20/18
403,LV1 P2 QNA #11,LV1,2,NA,7/1/18,11,NA,NA,NA,0,6/20/18
404,LV1 P2 QNA #11,LV1,2,NA,7/10/18,11,NA,NA,NA,NA,6/20/18
405,LV1 P2 QNA #11,LV1,2,NA,7/18/18,11,NA,NA,NA,0,6/20/18
406,LV1 P2 QNA #11,LV1,2,NA,7/27/18,11,NA,NA,NA,NA,6/20/18
407,LV1 P2 QNA #11,LV1,2,NA,8/5/18,11,NA,NA,NA,0,6/20/18
408,LV1 P2 QNA #11,LV1,2,NA,8/27/18,11,NA,NA,NA,0,6/20/18
409,LV1 P2 QNA #12-1-1,LV1,2,NA,7/1/18,12/1/01,NA,NA,NA,0,6/20/18
410,LV1 P2 QNA #12-1-1,LV1,2,NA,7/10/18,12/1/01,13,NA,NA,0,6/20/18
411,LV1 P2 QNA #12-1-1,LV1,2,NA,7/18/18,12/1/01,5,5,5,0,6/20/18
412,LV1 P2 QNA #12-1-1,LV1,2,NA,7/27/18,12/1/01,NA,NA,5,NA,6/20/18
413,LV1 P2 QNA #12-1-1,LV1,2,NA,8/5/18,12/1/01,0,0,5,0,6/20/18
414,LV1 P2 QNA #12-1-1,LV1,2,NA,8/27/18,12/1/01,NA,NA,NA,0,6/20/18
415,LV1 P2 QNA #12-1-2,LV1,2,NA,7/1/18,12/1/02,NA,NA,NA,0,6/20/18
416,LV1 P2 QNA #12-1-2,LV1,2,NA,7/10/18,12/1/02,12,2,NA,0,6/20/18
417,LV1 P2 QNA #12-1-2,LV1,2,NA,7/18/18,12/1/02,5,4,10,0,6/20/18
508,LV1 P2 QNA #22,LV1,2,NA,7/27/18,22,NA,NA,1,1,6/20/18
646,LV2 P1 QNA #58,LV2,1,NA,7/27/18,58,NA,NA,NA,1,5/29/18
928,LV2 P2 QNA #65,LV2,2,NA,7/27/18,65,NA,NA,NA,1,5/21/18
421,LV1 P2 QNA #12-1-3,LV1,2,NA,7/1/18,12/1/03,NA,NA,NA,0,6/20/18
422,LV1 P2 QNA #12-1-3,LV1,2,NA,7/10/18,12/1/03,8,2,NA,0,6/20/18
423,LV1 P2 QNA #12-1-3,LV1,2,NA,7/18/18,12/1/03,4,3,5,0,6/20/18
424,LV1 P2 QNA #12-1-3,LV1,2,NA,7/27/18,12/1/03,NA,NA,2,NA,6/20/18
425,LV1 P2 QNA #12-1-3,LV1,2,NA,8/5/18,12/1/03,0,0,3,0,6/20/18
426,LV1 P2 QNA #12-1-3,LV1,2,NA,8/27/18,12/1/03,NA,NA,NA,0,6/20/18
427,LV1 P2 QNA #12-1-4,LV1,2,NA,7/1/18,12/1/04,NA,NA,NA,0,6/20/18
428,LV1 P2 QNA #12-1-4,LV1,2,NA,7/10/18,12/1/04,9,2,NA,0,6/20/18
429,LV1 P2 QNA #12-1-4,LV1,2,NA,7/18/18,12/1/04,4,3,6,0,6/20/18
430,LV1 P2 QNA #12-1-4,LV1,2,NA,7/27/18,12/1/04,NA,NA,3,NA,6/20/18
431,LV1 P2 QNA #12-1-4,LV1,2,NA,8/5/18,12/1/04,0,0,3,0,6/20/18
432,LV1 P2 QNA #12-1-4,LV1,2,NA,8/27/18,12/1/04,NA,NA,NA,0,6/20/18
433,LV1 P2 QNA #12-3,LV1,2,NA,7/1/18,3-Dec,6,NA,NA,0,6/20/18
434,LV1 P2 QNA #12-3,LV1,2,NA,7/10/18,3-Dec,NA,NA,NA,NA,6/20/18
435,LV1 P2 QNA #12-3,LV1,2,NA,7/18/18,3-Dec,5,6,6,0,6/20/18
436,LV1 P2 QNA #12-3,LV1,2,NA,7/27/18,3-Dec,NA,NA,4,NA,6/20/18
437,LV1 P2 QNA #12-3,LV1,2,NA,8/5/18,3-Dec,NA,NA,NA,0,6/20/18
438,LV1 P2 QNA #12-3,LV1,2,NA,8/27/18,3-Dec,NA,NA,NA,0,6/20/18
439,LV1 P2 QNA #15-1,LV1,2,NA,7/1/18,15-1,NA,NA,NA,0,6/20/18
934,LV2 P2 QNA #66,LV2,2,NA,7/27/18,66,NA,NA,NA,1,5/21/18
441,LV1 P2 QNA #15-1,LV1,2,NA,7/18/18,15-1,NA,NA,NA,0,6/20/18
442,LV1 P2 QNA #15-1,LV1,2,NA,7/27/18,15-1,NA,NA,NA,NA,6/20/18
443,LV1 P2 QNA #15-1,LV1,2,NA,8/5/18,15-1,NA,NA,NA,0,6/20/18
444,LV1 P2 QNA #15-1,LV1,2,NA,8/27/18,15-1,NA,NA,NA,0,6/20/18
445,LV1 P2 QNA #16,LV1,2,NA,7/1/18,16,NA,NA,NA,0,6/20/18
446,LV1 P2 QNA #16,LV1,2,NA,7/10/18,16,NA,NA,NA,0,6/20/18
447,LV1 P2 QNA #16,LV1,2,NA,7/18/18,16,NA,NA,NA,0,6/20/18
940,LV2 P2 QNA #67,LV2,2,NA,7/27/18,67,NA,NA,NA,1,5/21/18
1066,LV3 P1 QNA #86,LV3,1,NA,7/27/18,86,NA,NA,NA,1,5/17/18
450,LV1 P2 QNA #16,LV1,2,NA,8/27/18,16,NA,NA,NA,0,6/20/18
451,LV1 P2 QNA #16-1,LV1,2,NA,7/1/18,16-1,NA,NA,NA,0,6/20/18
452,LV1 P2 QNA #16-1,LV1,2,NA,7/10/18,16-1,NA,NA,NA,0,6/20/18
453,LV1 P2 QNA #16-1,LV1,2,NA,7/18/18,16-1,NA,NA,NA,0,6/20/18
1090,LV3 P1 QNA #90,LV3,1,NA,7/27/18,90,NA,NA,NA,1,5/17/18
455,LV1 P2 QNA #16-1,LV1,2,NA,8/5/18,16-1,NA,NA,NA,0,6/20/18
456,LV1 P2 QNA #16-1,LV1,2,NA,8/27/18,16-1,NA,NA,NA,0,6/20/18
457,LV1 P2 QNA #17,LV1,2,NA,7/1/18,17,NA,NA,NA,0,6/20/18
458,LV1 P2 QNA #17,LV1,2,NA,7/10/18,17,NA,NA,NA,0,6/20/18
459,LV1 P2 QNA #17,LV1,2,NA,7/18/18,17,NA,NA,NA,0,6/20/18
1108,LV3 P1 QNA #93,LV3,1,NA,7/27/18,93,NA,NA,NA,1,5/17/18
461,LV1 P2 QNA #17,LV1,2,NA,8/5/18,17,NA,NA,NA,0,6/20/18
462,LV1 P2 QNA #17,LV1,2,NA,8/27/18,17,NA,NA,NA,0,6/20/18
463,LV1 P2 QNA #17-1,LV1,2,NA,7/1/18,17-1,NA,NA,NA,0,6/20/18
464,LV1 P2 QNA #17-1,LV1,2,NA,7/10/18,17-1,10,2,NA,0,6/20/18
465,LV1 P2 QNA #17-1,LV1,2,NA,7/18/18,17-1,NA,NA,NA,0,6/20/18
466,LV1 P2 QNA #17-1,LV1,2,NA,7/27/18,17-1,NA,NA,6,NA,6/20/18
467,LV1 P2 QNA #17-1,LV1,2,NA,8/5/18,17-1,0,0,6,0,6/20/18
468,LV1 P2 QNA #17-1,LV1,2,NA,8/27/18,17-1,NA,NA,NA,0,6/20/18
469,LV1 P2 QNA #18-2,LV1,2,NA,7/1/18,18-2,NA,NA,NA,0,6/20/18
470,LV1 P2 QNA #18-2,LV1,2,NA,7/10/18,18-2,8,NA,NA,0,6/20/18
471,LV1 P2 QNA #18-2,LV1,2,NA,7/18/18,18-2,NA,NA,NA,0,6/20/18
472,LV1 P2 QNA #18-2,LV1,2,NA,7/27/18,18-2,NA,NA,NA,NA,6/20/18
473,LV1 P2 QNA #18-2,LV1,2,NA,8/5/18,18-2,0,1,0,0,6/20/18
474,LV1 P2 QNA #18-2,LV1,2,NA,8/27/18,18-2,NA,NA,NA,0,6/20/18
475,LV1 P2 QNA #19,LV1,2,NA,7/1/18,19,NA,NA,NA,0,6/20/18
476,LV1 P2 QNA #19,LV1,2,NA,7/10/18,19,NA,NA,NA,NA,6/20/18
477,LV1 P2 QNA #19,LV1,2,NA,7/18/18,19,NA,NA,NA,0,6/20/18
1228,LV3 P1.5 QNA #64,LV3,1.5,NA,7/27/18,64,NA,NA,NA,1,5/3/18
1276,LV3 P1.5 QNA #72,LV3,1.5,NA,7/27/18,72,NA,NA,NA,1,5/3/18
480,LV1 P2 QNA #19,LV1,2,NA,8/27/18,19,NA,NA,NA,0,6/20/18
481,LV1 P2 QNA #2-4,LV1,2,NA,7/1/18,4-Feb,NA,NA,NA,0,6/20/18
482,LV1 P2 QNA #2-4,LV1,2,NA,7/10/18,4-Feb,17,NA,NA,0,6/20/18
483,LV1 P2 QNA #2-4,LV1,2,NA,7/18/18,4-Feb,NA,NA,NA,0,6/20/18
484,LV1 P2 QNA #2-4,LV1,2,NA,7/27/18,4-Feb,NA,NA,8,NA,6/20/18
485,LV1 P2 QNA #2-4,LV1,2,NA,8/5/18,4-Feb,0,0,7,0,6/20/18
486,LV1 P2 QNA #2-4,LV1,2,NA,8/27/18,4-Feb,NA,NA,NA,0,6/20/18
487,LV1 P2 QNA #2-5,LV1,2,NA,7/1/18,5-Feb,NA,NA,NA,0,6/20/18
488,LV1 P2 QNA #2-5,LV1,2,NA,7/10/18,5-Feb,11,NA,NA,0,6/20/18
489,LV1 P2 QNA #2-5,LV1,2,NA,7/18/18,5-Feb,NA,NA,NA,0,6/20/18
1474,LVTR2 PNA QNA #29,LVTR2,NA,NA,7/27/18,29,NA,NA,9,1,6/1/18
1492,LVTR2 PNA QNA #32,LVTR2,NA,NA,7/27/18,32,NA,NA,NA,1,6/1/18
492,LV1 P2 QNA #2-5,LV1,2,NA,8/27/18,5-Feb,NA,NA,NA,0,6/20/18
493,LV1 P2 QNA #20,LV1,2,NA,7/1/18,20,NA,NA,NA,0,6/20/18
494,LV1 P2 QNA #20,LV1,2,NA,7/10/18,20,26,2,NA,0,6/20/18
495,LV1 P2 QNA #20,LV1,2,NA,7/18/18,20,13,15,15,0,6/20/18
1630,LVTR2.5 PNA QNA #28,LVTR2.5,NA,NA,7/27/18,28,NA,NA,NA,1,NA
1636,LVTR2.5 PNA QNA #29,LVTR2.5,NA,NA,7/27/18,29,NA,NA,NA,1,NA
11,LV1 P1 QNA #1-1,LV1,1,NA,8/5/18,1-Jan,16,0,0,1,6/20/18
499,LV1 P2 QNA #21,LV1,2,NA,7/1/18,21,NA,NA,NA,0,6/20/18
500,LV1 P2 QNA #21,LV1,2,NA,7/10/18,21,15,NA,NA,0,6/20/18
501,LV1 P2 QNA #21,LV1,2,NA,7/18/18,21,4,5,8,0,6/20/18
502,LV1 P2 QNA #21,LV1,2,NA,7/27/18,21,NA,NA,10,NA,6/20/18
503,LV1 P2 QNA #21,LV1,2,NA,8/5/18,21,0,0,10,0,6/20/18
504,LV1 P2 QNA #21,LV1,2,NA,8/27/18,21,NA,NA,NA,0,6/20/18
505,LV1 P2 QNA #22,LV1,2,NA,7/1/18,22,NA,NA,NA,0,6/20/18
506,LV1 P2 QNA #22,LV1,2,NA,7/10/18,22,5,NA,NA,0,6/20/18
507,LV1 P2 QNA #22,LV1,2,NA,7/18/18,22,3,0,1,0,6/20/18
449,LV1 P2 QNA #16,LV1,2,NA,8/5/18,16,NA,NA,NA,1,6/20/18
509,LV1 P2 QNA #22,LV1,2,NA,8/5/18,22,0,0,1,0,6/20/18
510,LV1 P2 QNA #22,LV1,2,NA,8/27/18,22,NA,NA,NA,0,6/20/18
511,LV1 P2 QNA #23,LV1,2,NA,7/1/18,23,NA,NA,NA,0,6/20/18
512,LV1 P2 QNA #23,LV1,2,NA,7/10/18,23,11,NA,NA,0,6/20/18
513,LV1 P2 QNA #23,LV1,2,NA,7/18/18,23,6,3,4,0,6/20/18
514,LV1 P2 QNA #23,LV1,2,NA,7/27/18,23,NA,NA,5,NA,6/20/18
515,LV1 P2 QNA #23,LV1,2,NA,8/5/18,23,0,0,5,0,6/20/18
516,LV1 P2 QNA #23,LV1,2,NA,8/27/18,23,NA,NA,NA,0,6/20/18
517,LV1 P2 QNA #24,LV1,2,NA,7/1/18,24,NA,NA,NA,0,6/20/18
518,LV1 P2 QNA #24,LV1,2,NA,7/10/18,24,13,NA,NA,0,6/20/18
519,LV1 P2 QNA #24,LV1,2,NA,7/18/18,24,5,7,6,0,6/20/18
520,LV1 P2 QNA #24,LV1,2,NA,7/27/18,24,NA,NA,8,NA,6/20/18
521,LV1 P2 QNA #24,LV1,2,NA,8/5/18,24,0,0,8,0,6/20/18
522,LV1 P2 QNA #24,LV1,2,NA,8/27/18,24,NA,NA,NA,0,6/20/18
523,LV1 P2 QNA #25,LV1,2,NA,7/1/18,25,NA,NA,NA,0,6/20/18
524,LV1 P2 QNA #25,LV1,2,NA,7/10/18,25,23,NA,NA,0,6/20/18
525,LV1 P2 QNA #25,LV1,2,NA,7/18/18,25,10,9,10,0,6/20/18
526,LV1 P2 QNA #25,LV1,2,NA,7/27/18,25,NA,NA,11,NA,6/20/18
527,LV1 P2 QNA #25,LV1,2,NA,8/5/18,25,0,0,11,0,6/20/18
528,LV1 P2 QNA #25,LV1,2,NA,8/27/18,25,NA,NA,NA,0,6/20/18
